Trending 20																												
Date	Trend20 Open Interest Total	Trend20 Reportable Positions Net	Trend20 Reportable Positions Long	Trend20 Reportable Positions Short	Trend20 Prod_Merc_Positions Total	Trend20 Prod_Merc_Positions Net	Trend20 Prod_Merc_Positions Long	Trend20 Prod_Merc_Positions Short	Trend20 Swap_Positions Total	Trend20 Swap_Positions Net	Trend20 Swap_Positions Long	Trend20 Swap_Positions Short	Trend20 Swap_Positions Spread	Trend20 M_Money_Positions Total	Trend20 M_Money_Positions Net	Trend20 M_Money_Positions Long	Trend20 M_Money_Positions Short	Trend20 M_Money_Positions Spread	Trend20 Other_Rept_Positions Total	Trend20 Other_Rept_Positions Net	Trend20 Other_Rept_Positions Long	Trend20 Other_Rept_Positions Short	Trend20 Other_Rept_Positions Spread	Trend20 NonRept_Positions Total	Trend20 NonRept_Positions Net	Trend20 NonRept_Positions Long	Trend20 NonRept_Positions Short	Net
07.10.2014	0,2334060	-0,0438824	0,2654024	0,2132814	-0,5420659	-0,7062885	0,0073750	-0,8176463	0,4064919	0,6582645	0,6331964	-0,6794485	0,1726826	0,7357773	-0,6969396	-0,0456275	0,8038924	-0,2284332	0,3981553	-0,3534490	0,4494365	-0,0010466	0,4016955	0,0183998	-0,0438824	0,0006729	0,0988204	6
14.10.2014	0,2015654	0,0828892	0,2422815	0,1821357	-0,6657801	-0,6571703	0,0461941	-0,8149906	0,3914345	0,6015447	0,5697026	-0,6356822	0,0754542	0,6889016	-0,6281246	-0,0002816	0,7631502	-0,2156028	0,5213590	-0,1965126	0,4275554	0,1208946	0,4982266	0,0021145	0,0828892	0,0175600	0,0885685	6
21.10.2014	0,1640343	-0,1467061	0,2230798	0,1553175	-0,6388615	-0,5380647	-0,2078164	-0,7146676	0,3973398	0,5447185	0,5101579	-0,5838339	-0,0091775	0,5744596	-0,5303005	-0,1238950	0,6790547	-0,2076046	0,5721666	0,0313906	0,3924448	0,3543564	0,4766430	-0,0367783	-0,1467061	-0,1144133	-0,0211388	6
28.10.2014	0,1575299	0,2987447	0,2299213	0,1461699	-0,4925094	-0,2393011	-0,2860691	-0,4741663	0,4041098	0,4736801	0,4464019	-0,4964270	0,0589161	0,4354799	0,3526933	0,4931848	0,5256330	-0,2365671	0,6320653	-0,0023567	0,4764155	0,6063206	0,3937670	-0,0688277	0,2987447	-0,2124171	-0,0405077	5
04.11.2014	0,1703195	0,4136813	0,2580788	0,1571113	-0,3260494	0,0296008	-0,3231133	-0,2177733	0,4580073	0,4225159	0,3966448	-0,4241958	0,2693861	0,2756779	0,1006455	0,6746121	0,2833824	-0,1981431	0,6805490	-0,0065143	0,6247430	0,6837251	0,3202851	-0,1033035	0,4136813	-0,2943289	-0,0497343	4
11.11.2014	0,1642486	0,4797094	0,2513878	0,1458283	-0,1975699	0,0102864	-0,3523578	0,0611230	0,5030787	0,5650415	0,4561783	-0,6026318	0,4737872	0,1107202	-0,0009577	0,8121975	0,0741592	-0,1746451	0,6996395	-0,0000543	0,6158243	0,7289350	0,3186880	0,0831141	0,4797094	0,3015803	0,0840512	6
18.11.2014	0,0813077	0,3421958	0,1527877	0,0767020	0,0495826	0,1106118	-0,3551100	0,0011165	0,5123788	0,5542476	0,4572151	-0,3443342	0,4095122	-0,0000040	-0,0994947	0,8049397	-0,0043623	-0,2817357	0,6638856	-0,0671763	0,4226757	0,7268596	0,2469102	0,1392886	0,3421958	0,3032922	0,0086792	-1
25.11.2014	-0,0084663	0,3282931	-0,0016520	-0,0045640	0,0471013	0,2460529	-0,5586696	0,0211924	0,3605398	0,2595981	0,2208993	-0,1065875	0,3471711	-0,0762208	-0,2679048	0,7553244	-0,1095146	-0,3630831	0,2682111	0,0996005	0,1333408	0,4491109	0,0245069	-0,4100960	0,3282931	-0,4934605	-0,0504502	-1
02.12.2014	-0,1360587	0,1954766	-0,0643339	-0,1046221	0,0074454	0,3698792	-0,6233505	0,0883717	0,2189841	-0,0498871	-0,0500997	-0,0037193	0,2814756	-0,2328106	-0,4491630	0,7537574	-0,2856972	-0,4125834	-0,0224667	-0,2434135	-0,0003324	-0,2627464	-0,0441433	-0,5333773	0,1954766	-0,5050224	-0,1981210	-18
09.12.2014	-0,2587552	0,0696521	-0,1744210	-0,2059891	0,0164860	0,5064312	-0,6447427	0,2349087	0,1582969	-0,0076402	-0,0191450	0,0211228	0,2010281	-0,4272701	-0,6150488	0,7383041	-0,4937146	-0,4503922	-0,0116480	-0,4552467	-0,0837613	-0,1612427	-0,1866069	-0,5994834	0,0696521	-0,4856428	-0,3439329	-18
16.12.2014	-0,3286148	0,0090906	-0,2522274	-0,2675996	0,0862591	0,6020795	-0,6839833	0,3733071	-0,0975002	-0,0005866	-0,0092047	0,0521936	-0,1112213	-0,5126944	-0,7094611	0,7645928	-0,6115459	-0,4436569	-0,0769894	-0,5495789	-0,1747598	0,1076210	-0,3382898	-0,6192015	0,0090906	-0,4398733	-0,4364783	-23
23.12.2014	-0,3241277	-0,0182689	-0,2483778	-0,2416378	0,1764891	0,6485724	-0,6827157	0,4692425	-0,0688871	-0,0192549	-0,0022360	0,1300548	0,1220759	-0,5285362	-0,7344005	0,7344488	-0,6563118	-0,3752410	-0,1126265	-0,6307727	-0,2415603	0,1235186	-0,3960967	-0,6860289	-0,0182689	-0,4318723	-0,5911892	-24
